mutation_rate,iterations_number,population_size, number_of_cities,average_solution_distance
0.6000000000000001,100,10,100,0.0
0.6000000000000001,100,10,200,0.0
0.6000000000000001,100,100,10,35.58653716401517
0.6000000000000001,100,100,100,0.0
0.6000000000000001,100,100,200,0.0
0.6000000000000001,100,200,10,40.91299846776652
0.6000000000000001,100,200,100,0.0
0.6000000000000001,100,200,200,0.0
0.6000000000000001,200,10,10,35.4
0.6000000000000001,200,10,100,0.0
0.6000000000000001,200,10,200,0.0
0.6000000000000001,200,100,10,38.13261421177805
0.6000000000000001,200,100,100,0.0
0.6000000000000001,200,100,200,0.0
0.6000000000000001,200,200,10,40.13324019434782
0.6000000000000001,200,200,100,0.0
0.6000000000000001,200,200,200,0.0
0.7000000000000001,10,10,10,29.6
0.7000000000000001,10,10,100,0.0
0.7000000000000001,10,10,200,0.0
0.7000000000000001,10,100,10,36.01038845177078
0.7000000000000001,10,100,100,0.0
0.7000000000000001,10,100,200,0.0
0.7000000000000001,10,200,10,38.08836299436206
0.7000000000000001,10,200,100,0.0
0.7000000000000001,10,200,200,0.0
0.7000000000000001,100,10,10,33.4
0.7000000000000001,100,10,100,0.0
0.7000000000000001,100,10,200,0.0
0.7000000000000001,100,100,10,41.42375051411318
0.7000000000000001,100,100,100,0.0
0.7000000000000001,100,100,200,0.0
0.7000000000000001,100,200,10,37.03194510958461
0.7000000000000001,100,200,100,0.0
0.7000000000000001,100,200,200,0.0
0.7000000000000001,200,10,10,34.6
0.7000000000000001,200,10,100,0.0
0.7000000000000001,200,10,200,0.0
0.7000000000000001,200,100,10,37.166531060758224
0.7000000000000001,200,100,100,0.0
0.7000000000000001,200,100,200,0.0
0.7000000000000001,200,200,10,40.266091450037806
0.7000000000000001,200,200,100,0.0
0.7000000000000001,200,200,200,0.0
0.8,10,10,10,25.4
0.8,10,10,100,0.0
0.8,10,10,200,0.0
0.8,10,100,10,35.09447257754189
0.8,10,100,100,0.0
0.8,10,100,200,0.0
0.8,10,200,10,39.23240434578679
0.8,10,200,100,0.0
0.8,10,200,200,0.0
0.8,100,10,10,34.2
0.8,100,10,100,0.0
0.8,100,10,200,0.0
0.8,100,100,10,35.490032054119055
0.8,100,100,100,0.0
0.8,100,100,200,0.0
0.8,100,200,10,38.243490223012415
0.8,100,200,100,0.0
0.8,100,200,200,0.0
0.8,200,10,10,34.0
0.8,200,10,100,0.0
0.8,200,10,200,0.0
0.8,200,100,10,35.9541078804276
0.8,200,100,100,0.0
0.8,200,100,200,0.0
0.8,200,200,10,41.70641483444426
0.8,200,200,100,0.0
0.8,200,200,200,0.0
0.9,10,10,10,25.0
0.9,10,10,100,0.0
0.9,10,10,200,0.0
0.9,10,100,10,35.58990538093345
0.9,10,100,100,0.0
0.9,10,100,200,0.0
0.9,10,200,10,38.55227283453917
0.9,10,200,100,0.0
0.9,10,200,200,0.0
0.9,100,10,10,32.6
0.9,100,10,100,0.0
0.9,100,10,200,0.0
0.9,100,100,10,37.402220171307114
0.9,100,100,100,0.0
0.9,100,100,200,0.0
0.9,100,200,10,39.179226449580995
0.9,100,200,100,0.0
0.9,100,200,200,0.0
0.9,200,10,10,31.8
0.9,200,10,100,0.0
0.9,200,10,200,0.0
0.9,200,100,10,39.81912052527718
0.9,200,100,100,0.0
0.9,200,100,200,0.0
0.9,200,200,10,40.37174609614255
0.9,200,200,100,0.0
0.9,200,200,200,0.0
