mutation_rate,iterations_number,population_size, number_of_cities,average_solution_distance
0.5,100,10,200,279.81078032465865
0.5,100,100,10,19.105189014864028
0.5,100,100,100,153.638092653615
0.5,100,100,200,288.72323889217535
0.5,100,200,10,19.06795059957788
0.5,100,200,100,151.85890915336535
0.5,100,200,200,290.1499262905178
0.5,200,10,10,18.704773129481186
0.5,200,10,100,147.83858527939628
0.5,200,10,200,284.4604946766188
0.5,200,100,10,19.17966584543631
0.5,200,100,100,152.83375700100638
0.5,200,100,200,290.74049265705816
0.5,200,200,10,19.17966584543631
0.5,200,200,100,152.6554031246328
0.5,200,200,200,292.11454164232543
0.6000000000000001,10,10,10,18.061369713778994
0.6000000000000001,10,10,100,141.48636435095608
0.6000000000000001,10,10,200,277.76189308284995
0.6000000000000001,10,100,10,18.633941454452394
0.6000000000000001,10,100,100,149.8306840985038
0.6000000000000001,10,100,200,282.3139149527129
0.6000000000000001,10,200,10,18.99155739732786
0.6000000000000001,10,200,100,149.10762325797901
0.6000000000000001,10,200,200,286.4173632027693
0.6000000000000001,100,10,10,18.727055746969388
0.6000000000000001,100,10,100,145.72878955751614
0.6000000000000001,100,10,200,283.04514260585904
0.6000000000000001,100,100,10,19.06795059957788
0.6000000000000001,100,100,100,152.1161377219311
0.6000000000000001,100,100,200,288.2535399490218
0.6000000000000001,100,200,10,19.142427430150168
0.6000000000000001,100,200,100,152.16033360208672
0.6000000000000001,100,200,200,289.4943069710883
0.6000000000000001,200,10,10,18.842603736183285
0.6000000000000001,200,10,100,148.73576546061597
0.6000000000000001,200,10,200,288.442646356407
0.6000000000000001,200,100,10,19.14242743015017
0.6000000000000001,200,100,100,153.8793839404202
0.6000000000000001,200,100,200,289.5517140514641
0.6000000000000001,200,200,10,19.105189014864028
0.6000000000000001,200,200,100,154.07170417602222
0.6000000000000001,200,200,200,292.48024944736903
0.7000000000000001,10,10,10,17.981912265622583
0.7000000000000001,10,10,100,141.092467182179
0.7000000000000001,10,10,200,277.552471776804
0.7000000000000001,10,100,10,18.598619410843988
0.7000000000000001,10,100,100,148.13789790361832
0.7000000000000001,10,100,200,284.8494930898696
0.7000000000000001,10,200,10,19.030712184291737
0.7000000000000001,10,200,100,149.23881525910627
0.7000000000000001,10,200,200,283.5309057373862
0.7000000000000001,100,10,10,18.728972118647118
0.7000000000000001,100,10,100,145.26805822168615
0.7000000000000001,100,10,200,279.3506055173772
0.7000000000000001,100,100,10,19.105189014864028
0.7000000000000001,100,100,100,150.5231381121826
0.7000000000000001,100,100,200,287.80009155772666
0.7000000000000001,100,200,10,19.06795059957788
0.7000000000000001,100,200,100,152.7704248163997
0.7000000000000001,100,200,200,290.37286369493347
0.7000000000000001,200,10,10,18.855643162303494
0.7000000000000001,200,10,100,149.54080924480786
0.7000000000000001,200,10,200,283.24246546151886
0.7000000000000001,200,100,10,19.14242743015017
0.7000000000000001,200,100,100,153.83260961889437
0.7000000000000001,200,100,200,289.44132324835874
0.7000000000000001,200,200,10,19.17966584543631
0.7000000000000001,200,200,100,153.21818308931785
0.7000000000000001,200,200,200,290.08799039250334
0.8,10,10,10,18.09362751148101
0.8,10,10,100,144.83044975857806
0.8,10,10,200,277.4692329759781
0.8,10,100,10,18.818404747017347
0.8,10,100,100,147.0679954918088
0.8,10,100,200,284.23115085345705
0.8,10,200,10,18.850081635082255
0.8,10,200,100,148.8753818486716
0.8,10,200,200,285.37349313730357
0.8,100,10,10,18.697295230582217
0.8,100,10,100,145.55669673264885
0.8,100,10,200,279.8596965520208
0.8,100,100,10,19.06795059957788
0.8,100,100,100,152.00742207836385
0.8,100,100,200,290.2375598313214
0.8,100,200,10,19.142427430150168
0.8,100,200,100,151.6507768020418
0.8,100,200,200,290.37109918857385
0.8,200,10,10,18.95431898204172
0.8,200,10,100,150.63008916615127
0.8,200,10,200,285.55385658493196
0.8,200,100,10,19.14242743015017
0.8,200,100,100,152.00962817422538
0.8,200,100,200,290.5884190856407
0.8,200,200,10,19.105189014864028
0.8,200,200,100,152.19280001953467
0.8,200,200,200,289.79461424484066
0.9,10,10,10,18.108583309278956
0.9,10,10,100,141.26281345975144
0.9,10,10,200,278.44631524693824
0.9,10,100,10,18.505354039118295
0.9,10,100,100,147.83813317838505
0.9,10,100,200,282.9828817054562
0.9,10,200,10,18.81284321979611
0.9,10,200,100,149.28482777777225
0.9,10,200,200,285.17965312714233
0.9,100,10,10,18.628379927231162
0.9,100,10,100,146.81193855151173
0.9,100,10,200,282.3417051188759
0.9,100,100,10,19.142427430150168
0.9,100,100,100,151.38175332377452
0.9,100,100,200,288.86940680881014
0.9,100,200,10,19.105189014864028
0.9,100,200,100,151.87431049123074
0.9,100,200,200,291.0112912113601
0.9,200,10,10,18.699211602259943
0.9,200,10,100,150.07271142992096
0.9,200,10,200,282.5260914626826
0.9,200,100,10,19.030712184291737
0.9,200,100,100,153.08811387436225
0.9,200,100,200,290.89745713198715
0.9,200,200,10,19.06795059957788
0.9,200,200,100,152.65242263766817
0.9,200,200,200,290.62665611489933
