mutation_rate,iterations_number,population_size, number_of_cities,average_solution_distance
0.6000000000000001,200,10,10,18.76429416225553
0.6000000000000001,200,10,100,147.70048661281504
0.6000000000000001,200,10,200,278.45235296251286
0.6000000000000001,200,100,10,19.06795059957788
0.6000000000000001,200,100,100,155.22392025746
0.6000000000000001,200,100,200,294.6916306602545
0.6000000000000001,200,200,10,19.14242743015017
0.6000000000000001,200,200,100,154.14255030329386
0.6000000000000001,200,200,200,295.5595537618303
0.7000000000000001,10,10,10,17.402407027084063
0.7000000000000001,10,10,100,142.53890208425346
0.7000000000000001,10,10,200,274.4029167439312
0.7000000000000001,10,100,10,18.55946462388011
0.7000000000000001,10,100,100,148.20351133957357
0.7000000000000001,10,100,200,280.9744847957391
0.7000000000000001,10,200,10,19.06795059957788
0.7000000000000001,10,200,100,148.84956030584198
0.7000000000000001,10,200,200,285.8133039188473
0.7000000000000001,100,10,10,18.700940386125716
0.7000000000000001,100,10,100,143.23398991620442
0.7000000000000001,100,10,200,278.0215992014654
0.7000000000000001,100,100,10,18.993473769005593
0.7000000000000001,100,100,100,154.27705534006535
0.7000000000000001,100,100,200,289.0316849178425
0.7000000000000001,100,200,10,19.14242743015017
0.7000000000000001,100,200,100,152.7524268880176
0.7000000000000001,100,200,200,290.1626484376988
0.7000000000000001,200,10,10,18.818404747017347
0.7000000000000001,200,10,100,146.6669850738703
0.7000000000000001,200,10,200,281.70872257460724
0.7000000000000001,200,100,10,19.142427430150168
0.7000000000000001,200,100,100,152.2464527734851
0.7000000000000001,200,100,200,292.5996184926202
0.7000000000000001,200,200,10,19.06795059957788
0.7000000000000001,200,200,100,155.04333951370532
0.7000000000000001,200,200,200,295.24144653412463
0.8,10,10,10,18.24833028765879
0.8,10,10,100,141.52274278031874
0.8,10,10,200,279.0238564532052
0.8,10,100,10,18.620902028332193
0.8,10,100,100,148.28913909046548
0.8,10,100,200,281.06913674752303
0.8,10,200,10,19.030712184291737
0.8,10,200,100,147.79446293669122
0.8,10,200,200,286.84412192044596
0.8,100,10,10,18.734533645868357
0.8,100,10,100,145.02457720176366
0.8,100,10,200,278.61711501911424
0.8,100,100,10,19.06795059957788
0.8,100,100,100,152.248104903371
0.8,100,100,200,292.10011788832537
0.8,100,200,10,19.142427430150168
0.8,100,200,100,153.9269348999618
0.8,100,200,200,289.3086794521195
0.8,200,10,10,18.68790096000551
0.8,200,10,100,147.74205325172176
0.8,200,10,200,278.1611143606632
0.8,200,100,10,19.06795059957788
0.8,200,100,100,154.35823971584145
0.8,200,100,200,292.93891217526874
0.8,200,200,10,19.142427430150168
0.8,200,200,100,154.30937083840945
0.8,200,200,200,294.7295255013032
0.9,10,10,10,18.044497544303322
0.9,10,10,100,142.61135415930502
0.9,10,10,200,275.22333714593844
0.9,10,100,10,18.483071421630093
0.9,10,100,100,148.25375208957536
0.9,10,100,200,283.0021029621663
0.9,10,200,10,18.728972118647118
0.9,10,200,100,148.93438543520452
0.9,10,200,200,286.0010367661336
0.9,100,10,10,18.736450017546087
0.9,100,10,100,146.61788427908726
0.9,100,10,200,275.5191513231301
0.9,100,100,10,19.030712184291737
0.9,100,100,100,152.18031778734613
0.9,100,100,200,289.7551067933933
0.9,100,200,10,19.030712184291737
0.9,100,200,100,151.9955573599241
0.9,100,200,200,289.48616928132265
0.9,200,10,10,18.918996938433303
0.9,200,10,100,149.65082292464317
0.9,200,10,200,277.526912249018
0.9,200,100,10,19.17966584543631
0.9,200,100,100,151.78477431799848
0.9,200,100,200,295.86286404228974
0.9,200,200,10,19.142427430150168
0.9,200,200,100,153.74177346570931
0.9,200,200,200,292.63538162961373
